0, 500, 10, 131.338, 0.0, 0.0, 10.0, 1.0, 1.9994240899294446
0, 750, 10, 171.3357142857143, 0.0, 0.0, 10.0, 1.0, 1.9995902844703581
2, 500, 10, 151.514, 16.886398502979215, 59.144738726692054, 11.709625536524152, 1.2699328745712462, 1.999396611080901
2, 750, 10, 146.97857142857143, 14.962427437612474, 52.914401927038426, 11.544990478499253, 1.2198926101852339, 1.9995073722277399
0, 500, 10, 131.338, Infinity, Infinity, 10.0, 1.0, 1.94228198226475
0, 750, 10, 171.3357142857143, Infinity, Infinity, 10.0, 1.0, 1.9456431919810049
0, 1000, 10, 245.186, Infinity, Infinity, 10.0, 1.0, 1.9590747477510757
0, 1250, 10, 286.8433333333333, Infinity, Infinity, 10.0, 1.0, 1.9868837686142216
0, 1500, 10, 390.436, Infinity, Infinity, 10.0, 1.0, 1.9963817333640328
0, 500, 10, 131.338, Infinity, Infinity, 10.0, 1.0, 1.9324665547138191
0, 750, 10, 171.3357142857143, Infinity, Infinity, 10.0, 1.0, 1.9357448773005201
0, 1000, 10, 245.186, Infinity, Infinity, 10.0, 1.0, 1.9603610500584143
0, 1250, 10, 286.8433333333333, Infinity, Infinity, 10.0, 1.0, 1.9925588837241717
0, 1500, 10, 390.436, Infinity, Infinity, 10.0, 1.0, 1.998225379272923
0, 500, 10, 131.338, Infinity, Infinity, 10.0, 1.0, 1.94228198226475
0, 750, 10, 171.3357142857143, Infinity, Infinity, 10.0, 1.0, 1.947813946061608
0, 1000, 10, 245.186, Infinity, Infinity, 10.0, 1.0, 1.9684345322426526
0, 1250, 10, 286.8433333333333, Infinity, Infinity, 10.0, 1.0, 1.9941595681768909
0, 500, 30, 131.29, Infinity, Infinity, 30.0, 1.0, 1.9318986242185963
0, 750, 30, 171.3357142857143, Infinity, Infinity, 30.0, 1.0, 1.9382344764871682
0, 1000, 30, 248.195, Infinity, Infinity, 30.0, 1.0, 1.9626913773603425
2, 500, 30, 151.568, Infinity, Infinity, 34.94130516106105, 1.2771755121714774, 1.9298153289295163
2, 750, 30, 147.46571428571428, Infinity, Infinity, 34.6569683908111, 1.2300980703926647, 1.9358113141771904
2, 1000, 30, 150.257, Infinity, Infinity, 34.40233235210091, 1.2063672048469867, 1.9313879580639672
2, 1250, 30, 152.1075, Infinity, Infinity, 34.677102993281586, 1.2323702858885113, 1.931787387294782
2, 1500, 30, 166.032, Infinity, Infinity, 34.238322212748024, 1.2106100551940928, 1.9886322131320884
2, 500, 30, 151.568, Infinity, Infinity, 34.94130516106105, 1.2771755121714774, 1.5450130222072191
2, 750, 30, 147.46571428571428, Infinity, Infinity, 34.6569683908111, 1.2300980703926647, 1.5500748106059488
2, 1000, 30, 150.257, Infinity, Infinity, 34.40233235210091, 1.2063672048469867, 1.5496212501501492
2, 1250, 30, 152.1075, Infinity, Infinity, 34.677102993281586, 1.2323702858885113, 1.5448798210384591
2, 1500, 30, 166.032, Infinity, Infinity, 34.238322212748024, 1.2106100551940928, 1.5491690910774751
